varex,label,series,region,cdf
0,,vg,V,0
0.1629,vgene,vg,V,58
0.1758,p107,vg,V,77
0.178,VGSR,vg,V,78
0,,mot_vgs,V,0
0.0186,Vmotif,mot_vgs,V,7
0.0315,p107,mot_vgs,V,26
0.0337,VGSR,mot_vgs,V,27
0,,jg,J,0
0.037,jgene,jg,J,13
0.0812,p113,jg,J,32
0.081445366,JGSR,jg,J,33
0,,mot_jgs,J,0
0.0612,Jmotif,mot_jgs,J,41
0.1056,p113,mot_jgs,J,60
0.105763,JGSR,mot_jgs,J,61
0,,AA,mid,0
0.0311,length,AA,mid,5
0.0675,%E,AA,mid,6
0.1095,%D,AA,mid,7
0.13583,%W,AA,mid,8
0.15648,%R,AA,mid,9
0.17331,%Y,AA,mid,10
0.19161,%L,AA,mid,11
0.20946,%F,AA,mid,12
0.21727,%I,AA,mid,13
0.224294,%Q,AA,mid,14
0.231933,%S,AA,mid,15
0.2368856,%N,AA,mid,16
0.2407446,%T,AA,mid,17
0.2413789,%H,AA,mid,18
0.2419669,%V,AA,mid,19
0.2424849,%C,AA,mid,20
0,,fts,mid,0
0.0311,length,fts,mid,5
0.1486,hydrophobicity,fts,mid,6
0.1994,pI,fts,mid,7
0.2104,volume,fts,mid,8